serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2019-02-19,2.3809523809523814,6.0,1,144.6601949611,-37.9018111375,2019,2,19,1
1510830,2019-02-20,2.1904761904761907,6.0,1,144.6601949611,-37.9018111375,2019,2,20,2
1510830,2019-02-21,2.0,6.0,2,144.6601949611,-37.9018111375,2019,2,21,3
1510830,2019-02-22,6.0,6.0,1,144.6601949611,-37.9018111375,2019,2,22,4
1510830,2019-02-23,0.0,6.0,2,144.6601949611,-37.9018111375,2019,2,23,5
1510830,2019-02-24,6.0,6.0,1,144.6601949611,-37.9018111375,2019,2,24,6
1510830,2019-02-25,0.0,6.0,2,144.6601949611,-37.9018111375,2019,2,25,0
1510830,2019-02-26,0.0,6.0,2,144.6601949611,-37.9018111375,2019,2,26,1
1510830,2019-02-27,4.0,6.0,2,144.6601949611,-37.9018111375,2019,2,27,2
1510830,2019-02-28,8.0,6.0,1,144.6601949611,-37.9018111375,2019,2,28,3
1510830,2019-03-01,8.0,6.0,1,144.6601949611,-37.9018111375,2019,3,1,4
1510830,2019-03-02,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,2,5
1510830,2019-03-03,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,3,6
1510830,2019-03-04,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,4,0
1510830,2019-03-05,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,5,1
1510830,2019-03-06,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,6,2
1510830,2019-03-07,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,7,3
1510830,2019-03-08,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,8,4
1510830,2019-03-09,8.0,6.0,1,144.6601949611,-37.9018111375,2019,3,9,5
1510830,2019-03-10,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,10,6
1510830,2019-03-11,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,11,0
1510830,2019-03-12,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,12,1
1510830,2019-03-13,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,13,2
1510830,2019-03-14,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,14,3
1510830,2019-03-15,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,15,4
1510830,2019-03-16,8.0,6.0,1,144.6601949611,-37.9018111375,2019,3,16,5
1510830,2019-03-17,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,17,6
1510830,2019-03-18,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,18,0
1510830,2019-03-19,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,19,1
1510830,2019-03-20,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,20,2
1510830,2019-03-21,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,21,3
1510830,2019-03-22,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,22,4
1510830,2019-03-23,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,23,5
1510830,2019-03-24,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,24,6
1510830,2019-03-25,2.0,6.0,2,144.6601949611,-37.9018111375,2019,3,25,0
1510830,2019-03-26,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,26,1
1510830,2019-03-27,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,27,2
1510830,2019-03-28,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,28,3
1510830,2019-03-29,0.0,6.0,2,144.6601949611,-37.9018111375,2019,3,29,4
1510830,2019-03-30,4.0,6.0,2,144.6601949611,-37.9018111375,2019,3,30,5
1510830,2019-03-31,6.0,6.0,1,144.6601949611,-37.9018111375,2019,3,31,6
1510830,2019-04-01,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,1,0
1510830,2019-04-02,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,2,1
1510830,2019-04-03,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,3,2
1510830,2019-04-04,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,4,3
1510830,2019-04-05,8.0,6.0,1,144.6601949611,-37.9018111375,2019,4,5,4
1510830,2019-04-06,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,6,5
1510830,2019-04-07,4.0,6.0,2,144.6601949611,-37.9018111375,2019,4,7,6
1510830,2019-04-08,4.0,6.0,2,144.6601949611,-37.9018111375,2019,4,8,0
1510830,2019-04-09,4.0,6.0,2,144.6601949611,-37.9018111375,2019,4,9,1
1510830,2019-04-10,0.0,6.0,2,144.6601949611,-37.9018111375,2019,4,10,2
1510830,2019-04-11,2.0,6.0,2,144.6601949611,-37.9018111375,2019,4,11,3
